Collection,Name,Checkpoint
Cylinder3D,cylinder3d_4xb4-3x_semantickitti,./configs/cylinder3d/./configs/cylinder3d/cylinder3d_4xb4_3x_semantickitti_20230318_191107-822a8c31.pth
Cylinder3D,cylinder3d_8xb2-laser-polar-mix-3x_semantickitti,./configs/cylinder3d/./configs/cylinder3d/cylinder3d_4xb4_3x_semantickitti_20230318_191107-822a8c31 (1).pth
FreeAnchor,pointpillars_hv_fpn_sbn-all_8xb4-2x_nus-3d,./configs/free_anchor/./configs/free_anchor/hv_pointpillars_fpn_sbn-all_4x8_2x_nus-3d_20200620_230405-2fa62f3d.pth
FreeAnchor,pointpillars_hv_regnet-400mf_fpn_sbn-all_8xb4-2x_nus-3d,./configs/free_anchor/./configs/free_anchor/hv_pointpillars_fpn_sbn-all_free-anchor_4x8_2x_nus-3d_20210816_163441-ae0897e7.pth
FreeAnchor,pointpillars_hv_regnet-400mf_fpn_head-free-anchor_sbn-all_8xb4-2x_nus-3d,./configs/free_anchor/./configs/free_anchor/hv_pointpillars_regnet-400mf_fpn_sbn-all_free-anchor_4x8_2x_nus-3d_20210827_213939-a2dd3fff.pth
FreeAnchor,hv_pointpillars_regnet-1.6gf_fpn_sbn-all_free-anchor_4x8_2x_nus-3d,./configs/free_anchor/./configs/free_anchor/hv_pointpillars_regnet-1.6gf_fpn_sbn-all_free-anchor_4x8_2x_nus-3d_20210828_025608-bfbd506e.pth
FreeAnchor,pointpillars_hv_regnet-1.6gf_fpn_head-free-anchor_sbn-all_8xb4-strong-aug-3x_nus-3d,./configs/free_anchor/./configs/free_anchor/hv_pointpillars_regnet-1.6gf_fpn_sbn-all_free-anchor_strong-aug_4x8_3x_nus-3d_20210827_184909-14d2dbd1.pth
FreeAnchor,pointpillars_hv_regnet-3.2gf_fpn_head-free-anchor_sbn-all_8xb4-2x_nus-3d,./configs/free_anchor/./configs/free_anchor/hv_pointpillars_regnet-3.2gf_fpn_sbn-all_free-anchor_4x8_2x_nus-3d_20210827_181237-e385c35a.pth
FreeAnchor,pointpillars_hv_regnet-3.2gf_fpn_head-free-anchor_sbn-all_8xb4-strong-aug-3x_nus-3d,./configs/free_anchor/./configs/free_anchor/hv_pointpillars_regnet-3.2gf_fpn_sbn-all_free-anchor_strong-aug_4x8_3x_nus-3d_20210828_030816-06708918.pth
Group-Free-3D,groupfree3d_head-L6-O256_4xb8_scannet-seg.py,./configs/groupfree3d/./configs/groupfree3d/groupfree3d_8x4_scannet-3d-18class-L6-O256_20210702_145347-3499eb55.pth
Group-Free-3D,groupfree3d_head-L12-O256_4xb8_scannet-seg.py,./configs/groupfree3d/./configs/groupfree3d/groupfree3d_8x4_scannet-3d-18class-L12-O256_20210702_150907-1c5551ad.pth
Group-Free-3D,groupfree3d_w2x-head-L12-O256_4xb8_scannet-seg.py,./configs/groupfree3d/./configs/groupfree3d/groupfree3d_8x4_scannet-3d-18class-w2x-L12-O256_20210702_200301-944f0ac0.pth
Group-Free-3D,groupfree3d_w2x-head-L12-O512_4xb8_scannet-seg.py,./configs/groupfree3d/./configs/groupfree3d/groupfree3d_8x4_scannet-3d-18class-w2x-L12-O512_20210702_220204-187b71c7.pth
PointRCNN,point-rcnn_8xb2_kitti-3d-3class,./configs/point_rcnn/./configs/point_rcnn/point_rcnn_2x8_kitti-3d-3classes_20211208_151344.pth
PointPillars,pointpillars_hv_secfpn_8xb6-160e_kitti-3d-car,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_secfpn_6x8_160e_kitti-3d-car_20220331_134606-d42d15ed.pth
PointPillars,pointpillars_hv_secfpn_8xb6-160e_kitti-3d-3class,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_secfpn_6x8_160e_kitti-3d-3class_20220301_150306-37dc2420.pth
PointPillars,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_secfpn_sbn-all_4x8_2x_nus-3d_20210826_225857-f19d00a3.pth
PointPillars,pointpillars_hv_secfpn_sbn-all_8xb4-amp-2x_nus-3d,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_secfpn_sbn-all_fp16_2x8_2x_nus-3d_20201020_222626-c3f0483e.pth
PointPillars,pointpillars_hv_fpn_sbn-all_8xb4-2x_nus-3d,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_fpn_sbn-all_4x8_2x_nus-3d_20210826_104936-fca299c1.pth
PointPillars,pointpillars_hv_fpn_sbn-all_8xb4-amp-2x_nus-3d,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_fpn_sbn-all_fp16_2x8_2x_nus-3d_20201021_120719-269f9dd6.pth
PointPillars,pointpillars_hv_secfpn_sbn-all_8xb2-2x_lyft-3d,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_secfpn_sbn-all_2x8_2x_lyft-3d_20210829_100455-82b81c39.pth
PointPillars,pointpillars_hv_fpn_sbn-all_8xb2-2x_lyft-3d,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_fpn_sbn-all_2x8_2x_lyft-3d_20210822_095429-0b3d6196.pth
PointPillars,pointpillars_hv_secfpn_sbn_2x16_2x_waymoD5-3d-car,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-car_20200901_204315-302fc3e7.pth
PointPillars,pointpillars_hv_secfpn_sbn_2x16_2x_waymoD5-3d-3class,./configs/pointpillars/./configs/pointpillars/hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-3class_20200831_204144-d1a706b1.pth
PointNet++,pointnet2_ssg_2xb16-cosine-200e_scannet-seg-xyz-only,./configs/pointnet2/./configs/pointnet2/pointnet2_ssg_xyz-only_16x2_cosine_200e_scannet_seg-3d-20class_20210514_143628-4e341a48.pth
PointNet++,pointnet2_ssg_2xb16-cosine-200e_scannet-seg,./configs/pointnet2/./configs/pointnet2/pointnet2_ssg_16x2_cosine_200e_scannet_seg-3d-20class_20210514_143644-ee73704a.pth
PointNet++,pointnet2_msg_2xb16-cosine-250e_scannet-seg-xyz-only,./configs/pointnet2/./configs/pointnet2/pointnet2_msg_xyz-only_16x2_cosine_250e_scannet_seg-3d-20class_20210514_143838-b4a3cf89.pth
PointNet++,pointnet2_msg_2xb16-cosine-250e_scannet-seg,./configs/pointnet2/./configs/pointnet2/pointnet2_msg_16x2_cosine_250e_scannet_seg-3d-20class_20210514_144009-24477ab1.pth
PointNet++,pointnet2_ssg_2xb16-cosine-50e_s3dis-seg,./configs/pointnet2/./configs/pointnet2/pointnet2_ssg_16x2_cosine_50e_s3dis_seg-3d-13class_20210514_144205-995d0119.pth
PointNet++,pointnet2_msg_2xb16-cosine-80e_s3dis-seg,./configs/pointnet2/./configs/pointnet2/pointnet2_msg_16x2_cosine_80e_s3dis_seg-3d-13class_20210514_144307-b2059817.pth
SSN,hv_ssn_secfpn_sbn-all_16xb2-2x_nus-3d,./configs/ssn/./configs/ssn/hv_ssn_secfpn_sbn-all_2x16_2x_nus-3d_20210830_101351-51915986.pth
SSN,hv_ssn_regnet-400mf_secfpn_sbn-all_16xb2-2x_nus-3d,./configs/ssn/./configs/ssn/hv_ssn_regnet-400mf_secfpn_sbn-all_2x16_2x_nus-3d_20210829_210615-361e5e04.pth
SSN,hv_ssn_secfpn_sbn-all_16xb2-2x_lyft-3d,./configs/ssn/./configs/ssn/hv_ssn_secfpn_sbn-all_2x16_2x_lyft-3d_20210822_134731-46841b41.pth
SSN,hv_ssn_regnet-400mf_secfpn_sbn-all_16xb1-2x_lyft-3d,./configs/ssn/./configs/ssn/hv_ssn_regnet-400mf_secfpn_sbn-all_1x16_2x_lyft-3d_20210829_122825-d93475a1.pth
Dynamic Voxelization,dv_second_secfpn_6x8_80e_kitti-3d-car,./configs/dynamic_voxelization/./configs/dynamic_voxelization/dv_second_secfpn_6x8_80e_kitti-3d-car_20200620_235228-ac2c1c0c.pth
Dynamic Voxelization,dv_second_secfpn_2x8_cosine_80e_kitti-3d-3class,./configs/dynamic_voxelization/./configs/dynamic_voxelization/dv_second_secfpn_2x8_cosine_80e_kitti-3d-3class_20210831_054106-e742d163.pth
Dynamic Voxelization,dv_pointpillars_secfpn_6x8_160e_kitti-3d-car,./configs/dynamic_voxelization/./configs/dynamic_voxelization/dv_pointpillars_secfpn_6x8_160e_kitti-3d-car_20200620_230844-ee7b75c9.pth
CenterPoint,centerpoint_voxel01_second_secfpn_head-circlenms_8xb4-cyclic-20e_nus-3d,./configs/centerpoint/./configs/centerpoint/centerpoint_01voxel_second_secfpn_circlenms_4x8_cyclic_20e_nus_20220810_030004-9061688e.pth
CenterPoint,centerpoint_voxel01_second_secfpn_head-dcn-circlenms_8xb4-cyclic-20e_nus-3d,./configs/centerpoint/./configs/centerpoint/centerpoint_01voxel_second_secfpn_dcn_circlenms_4x8_cyclic_20e_nus_20220810_052355-a6928835.pth
CenterPoint,centerpoint_voxel0075_second_secfpn_head-circlenms_8xb4-cyclic-20e_nus-3d,./configs/centerpoint/./configs/centerpoint/centerpoint_0075voxel_second_secfpn_circlenms_4x8_cyclic_20e_nus_20220810_011659-04cb3a3b.pth
